ID,Scaffold,Activity,Canonicalsmiles
0,C(=Cc1cc[nH+]cc1)c1ccccc1,1,C(=Cc1cc[nH+]cc1)c1ccccc1
1,O=C(Nc1ccnc(-c2cccnc2)n1)c1ccccc1,1,O=C(Nc1ccnc(-c2cccnc2)n1)c1ccccc1
2,c1ccc(C(c2c[nH]c3ccccc23)c2c[nH]c3ccccc23)nc1,1,c1ccc(C(c2c[nH]c3ccccc23)c2c[nH]c3ccccc23)nc1
3,O=C1NC(=Nc2ccccc2)SC1=Cc1ccccc1,1,O=C1NC(=Nc2ccccc2)SC1=Cc1ccccc1
4,O=C1Nc2ccccc2C(=O)N2C1C(c1ccccc1)C1COc3ccccc3C12,1,O=C1Nc2ccccc2C(=O)N2C1C(c1ccccc1)C1COc3ccccc3C12
5,O=c1c2ccccc2n(CCCN2CCCC2)c2ccccc12,1,O=c1c2ccccc2n(CCCN2CCCC2)c2ccccc12
6,c1ccc(-c2sc3ccccc3c2-c2ccc(OCCN3CCCC3)cc2)cc1,1,c1ccc(-c2sc3ccccc3c2-c2ccc(OCCN3CCCC3)cc2)cc1
7,c1ccc(CCN2CCN(c3nc4ccccc4n4cccc34)CC2)cc1,1,c1ccc(CCN2CCN(c3nc4ccccc4n4cccc34)CC2)cc1
8,c1ccc(CCN2CCN(c3nc4ccccc4n4cc(-c5ccccc5)cc34)CC2)cc1,1,c1ccc(CCN2CCN(c3nc4ccccc4n4cc(-c5ccccc5)cc34)CC2)cc1
9,c1ccc(C(c2ccccc2)N2CCN(CCCOc3cccc4ncc5cccn5c34)CC2)cc1,1,c1ccc(C(c2ccccc2)N2CCN(CCCOc3cccc4ncc5cccn5c34)CC2)cc1
10,O=C1CCCC=CC(=O)OC2CC(CCCC=CC=CCCCCC(=O)CCC1)OC1(CCCCO1)C2,1,O=C1CCCC=CC(=O)OC2CC(CCCC=CC=CCCCCC(=O)CCC1)OC1(CCCCO1)C2
11,c1ccc(-c2sc3ccccc3c2-c2ccccc2)cc1,1,c1ccc(-c2sc3ccccc3c2-c2ccccc2)cc1
12,O=C1Nc2ccccc2C12NC(Cc1ccccc1)c1cn(-c3ccccc3)cc12,1,O=C1Nc2ccccc2C12NC(Cc1ccccc1)c1cn(-c3ccccc3)cc12
13,O=C(COC(=O)CNC(=O)c1ccccc1)Nc1cccc(S(=O)(=O)N2CCOCC2)c1,1,O=C(COC(=O)CNC(=O)c1ccccc1)Nc1cccc(S(=O)(=O)N2CCOCC2)c1
14,O=C(CNC(=O)c1ccccc1)OCC(=O)c1c[nH]c(=O)[nH]c1=O,1,O=C(CNC(=O)c1ccccc1)OCC(=O)c1c[nH]c(=O)[nH]c1=O
15,c1ccc(-c2ccccc2)cc1,1,c1ccc(-c2ccccc2)cc1
16,c1ccc2c(c1)Nc1ccccc1S2,1,c1ccc2c(c1)Nc1ccccc1S2
17,O=C1NC(=S)NC(=O)C1=Cc1cc2ccccc2[nH]1,1,O=C1NC(=S)NC(=O)C1=Cc1cc2ccccc2[nH]1
18,O=C1COC(=O)C(Cc2ccccc2)NC(=O)COC(=O)C(Cc2ccccc2)NC(=O)COC(=O)C(Cc2ccccc2)N1,1,O=C1COC(=O)C(Cc2ccccc2)NC(=O)COC(=O)C(Cc2ccccc2)NC(=O)COC(=O)C(Cc2ccccc2)N1
19,O=C(CSc1nnc(Cc2ccc[nH]2)n1-c1ccccc1)Nc1ccccc1,1,O=C(CSc1nnc(Cc2ccc[nH]2)n1-c1ccccc1)Nc1ccccc1
20,O=C(C=Cc1ccccc1)NCCc1ccccc1,1,O=C(C=Cc1ccccc1)NCCc1ccccc1
21,C(=Cc1ccc2ccccc2n1)c1ccccc1,1,C(=Cc1ccc2ccccc2n1)c1ccccc1
22,O=C1OC2C=CC(C(=O)C=Cc3ccccc3)=CC2S1,1,O=C1OC2C=CC(C(=O)C=Cc3ccccc3)=CC2S1
