ID,Scaffold,Activity,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,C(=Cc1cc[nH+]cc1)c1ccccc1,1,-1.4422933,0.6100155,-5.0749855,0.021560827,-3.9432914,-1.5083456,-2.165002,-5.741242,-4.1718593,-6.337348,11.501884,-6.030692,2.548592,-3.7031324,-5.577878,-1.8325166,2.342166,2.9981186,-0.1194343,-6.302789,-7.9884644,0.16254708,-5.1885195,2.1726098,2.1268806,-4.772474,-0.9580992,-1.887563,-1.8237597,-0.7668567,-2.2311172,7.7935867,6.491654,3.0260737,-3.8393428,-8.057032,4.391584,3.0184987,-2.354518,6.248816,4.6348433,-7.0115185,1.1051531,-3.1463952,-2.257899,-7.0152097,-6.3440905,1.8072271,6.50514,3.636696,3.098429,3.7600236,-5.300434,1.4387388,2.5931225,7.657859,-2.5990124,-0.98290944,9.237593,0.017237816,-3.3646464,0.9704147,7.448597,1.8627775,1.8638637,-3.2044783,-3.8926613,15.13773,-2.127908,7.3893604,3.321873,-4.466361,4.735677,-2.9238563,-6.618349,-3.7813826,-1.5729581,2.912368,1.2668767,-10.377197,6.8435616,5.5939016,2.3531644,-5.4570622,-8.510864,5.397452,0.75211304,16.026184,3.0414908,-0.0093789,9.2927,1.6653649,-2.544995,-5.863786,4.5595803,-12.511579,-2.6302385,9.399205,-3.5713809,-4.224297
1,O=C(Nc1ccnc(-c2cccnc2)n1)c1ccccc1,1,-1.3518808,0.96556395,-6.578246,-0.0764125,-6.8409853,-2.5227525,-5.885437,-6.794042,-6.9091506,-11.445485,17.353174,-6.9130077,0.25324777,-5.756867,-7.1418815,-4.7945185,-2.375736,5.5460525,-5.438717,-6.415631,-4.4499493,5.369031,-11.519937,5.6841145,-1.2109398,-6.031609,-6.716667,-6.1739283,0.51623106,1.1429678,-0.6388603,8.997645,15.427493,2.7073364,-5.78006,-12.487762,12.9869,7.8532305,-9.255222,14.38366,11.149161,-11.133325,1.3900515,-4.570965,-2.2615714,-11.049533,-12.070384,0.7485115,13.264057,7.8600626,5.415268,7.3629913,-2.6206052,-4.030598,6.427603,9.461533,-0.63047284,-5.5136905,6.0832157,-0.8667315,-4.466946,-1.8690405,7.0264835,1.5918108,5.818204,-6.1803937,-5.166062,17.400166,-0.6503577,13.143758,0.2758536,-11.229651,4.854963,0.39777756,-8.990111,-6.826028,1.5479723,5.852095,-0.23803994,-12.771074,15.168125,6.4442835,6.343276,-4.9791822,-19.477022,11.707508,4.0748973,23.967068,-0.31091368,2.4537623,12.213005,5.1677494,-4.6846867,-10.236699,6.069523,-20.959742,2.998757,14.710552,-8.480621,-1.3160936
2,c1ccc(C(c2c[nH]c3ccccc23)c2c[nH]c3ccccc23)nc1,1,3.6444864,2.0791714,-7.349962,-2.9957201,-12.758197,-3.3836255,-5.5336494,-4.794993,-6.8706923,-11.570061,20.184057,-7.866731,2.185965,-10.022479,-7.98146,-4.917205,-1.5769982,10.846741,-1.2060778,-5.7953444,-10.170141,7.523344,-11.691957,4.4094677,0.7905033,-6.6820517,-5.7701697,-11.629722,0.31499663,3.0551627,-1.0183849,12.0092535,18.018633,2.7132154,-10.458421,-13.771255,13.125483,13.170973,-8.08322,14.535614,11.089768,-11.114916,1.6765301,-8.780177,-1.4218767,-11.2041,-13.759025,6.5528674,16.918999,6.5989294,3.383681,8.116471,-1.9141499,-2.61248,8.061171,12.143656,-9.024117,-7.4060388,10.895942,1.01809,-4.4229574,-2.765851,9.298247,5.3778114,8.687368,-11.140574,-5.574258,19.571384,-4.888942,14.1272335,1.6069298,-12.95269,3.9595435,2.926489,-6.061546,-6.630393,3.1832063,9.721038,-0.109927244,-20.964823,16.19877,10.232272,10.203581,-9.844726,-20.98381,12.324705,1.8417091,26.150848,2.2512877,-4.0595927,12.332197,6.6361837,-9.621172,-14.695316,4.208912,-22.802555,0.80443794,17.198565,-14.511521,-2.9961126
3,O=C1NC(=Nc2ccccc2)SC1=Cc1ccccc1,1,1.9937984,7.0021777,-6.758484,-3.3677847,-6.67907,-6.8221316,-5.716604,-6.934668,-5.3986716,-7.89675,12.923423,-8.782763,0.5521704,-9.420459,-6.3657513,3.0552547,-1.0146426,7.6299734,-2.164624,-10.713618,-9.399818,7.6694875,-8.75252,-2.8155472,0.9168026,-2.3784428,2.4812794,-1.0682681,-4.0594664,-0.14091446,-4.1260686,10.610297,16.867704,6.0094023,-4.599537,-4.5306687,9.013596,8.926738,-3.1551833,8.849675,9.658427,-9.018665,2.6518693,-4.4324813,0.2033348,-12.070489,-8.852127,5.4528995,13.477766,5.9884005,2.8175085,6.5119896,-2.6634765,-0.82271135,4.600691,7.824844,-4.16903,-1.8578608,10.403228,-0.87293315,-8.931178,-0.6202613,9.395789,0.20098376,1.1657315,-3.6349733,-1.8587198,18.996162,0.41602337,14.748893,3.4754467,-5.3570952,7.4698505,0.40462506,-9.116416,-2.1783056,2.6251552,6.5779634,5.305819,-13.704713,11.781549,2.5641448,5.9801817,-7.920444,-11.866878,8.848467,-0.8884295,21.982471,6.3045654,-3.1951566,13.708698,7.709427,-2.996277,-5.5632224,6.7561245,-19.674301,4.7457714,20.225637,-5.8313894,-7.2046204
4,O=C1Nc2ccccc2C(=O)N2C1C(c1ccccc1)C1COc3ccccc3C12,1,0.27802703,7.296257,-5.1435003,-5.7133994,-9.609623,-4.93834,-12.035444,-10.983678,-5.183515,-5.7888017,19.629854,-12.587131,1.3432969,-5.8482695,-11.090732,3.5761092,-3.7308779,5.761225,1.723765,-16.240292,-13.7282295,10.115842,-18.491241,0.7035898,-1.2961872,-2.37961,-4.581358,-6.6228967,1.1415298,1.2243876,-5.958854,13.129748,17.524689,4.536322,-8.167537,-10.215602,15.8549385,16.009043,-10.515508,16.436127,16.874971,-3.4588573,7.086558,-10.333921,-3.5932384,-13.029865,-13.3328285,0.9210395,18.495377,17.9829,7.014438,2.0387862,-7.154679,4.803288,2.6135666,14.898888,-7.018747,-12.469612,11.228864,2.072281,-6.3259187,-5.566309,9.377707,4.4852405,-4.3577523,-15.174145,-1.3114996,23.071363,-1.4434291,18.032196,2.1919932,-6.740064,7.927705,0.69802296,-11.961005,-5.7800503,-0.36859447,7.400486,0.9101471,-18.979378,17.258862,11.20331,9.75878,-9.6079,-23.817453,22.856375,2.439394,33.073883,1.2468065,0.5917703,18.737206,10.365658,-8.100058,-15.217199,13.196649,-26.10538,8.092922,21.685486,-14.717508,-4.2925963
5,O=c1c2ccccc2n(CCCN2CCCC2)c2ccccc12,1,1.138637,2.861816,-2.4503384,-3.4704878,-7.870942,-5.8801613,-8.489823,-9.167664,-4.351232,-11.377129,18.74063,-5.166131,3.5406947,-4.6417866,-9.13717,-1.4653351,-1.8341856,6.9387765,-5.2170258,-9.989554,-9.519547,9.990299,-11.710089,7.012476,2.4572816,0.4565205,-2.7977867,-7.579447,3.0826774,1.7783982,-3.621237,15.82348,17.764183,0.9029436,-10.005357,-9.387956,9.742478,9.247554,-7.9043517,11.772326,8.574971,-7.88169,3.9822533,-6.3590817,-1.21913,-10.363622,-8.923985,-0.9208745,18.882612,8.47147,10.875988,6.6098046,0.45613605,6.094406,2.9733067,7.5990095,-2.0961185,-3.681898,10.488204,0.028822184,-3.4636328,-3.771152,4.4889965,9.106295,-1.3313303,-7.5543833,1.0737233,14.373904,-3.0929747,10.353503,-1.2954764,-8.271686,5.5408835,-2.1797452,-11.336847,-3.5032744,2.1648204,2.8898072,0.98611057,-13.607586,13.0245905,7.2606926,3.4337244,-9.7379265,-22.317436,15.862539,-0.02942413,24.681978,-2.0818357,4.1679034,14.425219,8.005555,-1.3189168,-14.990065,6.153252,-18.916552,2.9652293,13.633113,-9.705632,-5.1377273
6,c1ccc(-c2sc3ccccc3c2-c2ccc(OCCN3CCCC3)cc2)cc1,1,1.4619068,4.508196,-3.532241,-6.893841,-9.409735,-5.3264103,-9.819891,-10.452532,-9.129186,-14.608297,24.745655,-7.929559,2.1285489,-5.153611,-11.291392,-3.5109758,0.20760494,9.451083,-8.372051,-10.142855,-11.278571,11.569609,-14.291751,6.940522,-0.16966939,-1.5971351,-3.4447625,-7.0527153,4.2711625,3.2375689,-4.496364,19.123737,21.576088,2.1102352,-8.9808855,-13.901611,12.5098,11.717439,-12.226665,15.987959,15.589784,-11.938511,6.812144,-7.972371,-0.53643054,-13.61375,-10.557953,2.3086646,20.135105,11.709719,11.1387005,8.770812,-4.696867,1.9198267,5.5068297,12.253081,-0.29377127,-6.239418,9.773481,2.014062,-5.802125,-3.7892191,7.7390203,7.103648,4.530257,-9.381401,-2.011933,19.885431,-3.4930336,15.945604,0.032671504,-9.246688,8.59067,-0.69139206,-15.00332,-3.9876935,3.4184852,4.1446934,-0.08553817,-17.817295,17.982424,9.718211,7.4295006,-10.91713,-26.5278,18.27039,1.6918334,29.888865,-0.16549543,2.5815935,18.277733,8.815432,-4.6706505,-17.04176,10.433615,-26.00188,1.4023671,20.160961,-8.361011,-7.565617
7,c1ccc(CCN2CCN(c3nc4ccccc4n4cccc34)CC2)cc1,1,0.13996223,0.3016483,-4.325048,-3.5820081,-9.237951,-5.7540374,-8.483045,-10.356085,-5.754034,-15.96345,23.667156,-6.5767455,2.7435527,-5.8572493,-8.758018,-4.4208264,-3.5985353,7.977683,-9.380279,-12.306765,-10.209229,8.715926,-13.93832,6.7920628,-0.22109792,-0.9676732,-4.246791,-7.5315294,2.8351364,2.1228101,-6.5684466,16.403034,20.802357,1.9949479,-8.708553,-14.019647,11.04891,7.2121162,-9.8850765,15.340847,13.31981,-10.123848,4.278577,-7.957828,-2.0193586,-14.19168,-8.8821125,-1.0902532,21.130173,8.799383,12.268229,7.521974,-2.4177344,3.3723626,4.5147114,8.936252,-1.3761048,-4.3815765,13.277081,-0.07085527,-3.5553563,-3.6254804,6.4961653,8.399164,1.3463984,-8.847051,-1.0280089,16.956945,-2.7873795,12.803259,0.554333,-9.943782,5.747552,-1.4796565,-12.459409,-4.208202,1.908272,3.8419583,0.17030144,-17.769411,18.653166,9.090019,6.0118456,-10.909621,-26.895184,19.202164,2.3709235,27.934734,-1.4951242,4.3461776,16.141289,8.037046,-3.6078434,-15.128594,7.444471,-24.052814,1.8382777,14.159825,-8.676365,-5.0148883
8,c1ccc(CCN2CCN(c3nc4ccccc4n4cc(-c5ccccc5)cc34)CC2)cc1,1,0.33041978,0.7884473,-5.735731,-4.717884,-11.083359,-6.319165,-10.244861,-12.176064,-8.022948,-18.728596,28.902515,-8.425432,2.8860497,-7.7821064,-11.03121,-4.5575314,-4.0583987,10.335587,-11.328832,-13.292048,-12.823802,10.148122,-17.438566,8.299361,-1.2257767,-2.4908066,-4.7405787,-9.0389185,2.7657685,2.8952985,-7.068275,20.087873,25.620646,2.7526314,-10.739201,-17.806349,13.41552,10.095553,-12.942477,19.008177,17.11578,-12.627552,5.3096375,-9.582778,-2.3613133,-17.274456,-11.5156975,-1.2634876,24.84599,11.9201975,13.20106,9.160027,-3.7998784,2.474516,6.878023,12.082565,-2.652534,-7.2343144,15.479584,1.3091176,-4.8279705,-3.6642537,9.590204,9.1175785,3.8087554,-11.212466,-2.2524636,21.917799,-3.3464196,17.491909,0.8583155,-12.719177,7.2842855,-0.48668292,-15.49122,-5.384061,2.4745867,6.109382,0.50849545,-21.176397,23.252686,11.187296,8.060924,-12.8473425,-30.898462,22.757849,3.3388112,34.27442,-1.462448,4.713901,19.79149,10.242693,-5.322039,-18.596992,10.056066,-30.191423,1.4915316,19.135185,-9.929452,-6.548225
9,c1ccc(C(c2ccccc2)N2CCN(CCCOc3cccc4ncc5cccn5c34)CC2)cc1,1,1.766672,1.0821612,-7.55519,-4.9353223,-10.653189,-6.7672772,-13.292101,-12.412643,-7.2296457,-20.194506,28.346207,-8.401033,5.2338834,-8.8526945,-12.61501,-7.5711284,-3.4083054,10.975696,-10.490582,-17.11892,-14.674994,10.977437,-17.844385,9.500024,0.82517236,-2.6035728,-5.624962,-8.916629,3.4244685,2.580121,-6.6819215,21.537169,23.755804,3.919856,-14.049547,-18.996422,14.818012,9.281372,-14.783327,21.21179,16.096407,-13.282979,6.8661942,-9.582056,-2.2221806,-16.463099,-14.089675,1.7743198,26.810204,10.268085,16.171354,10.8443165,-2.8077803,2.7294338,7.0541334,14.265932,-1.7605731,-5.421708,14.606259,2.434348,-5.38513,-5.0109787,8.027245,10.337583,1.7598661,-13.526252,-5.258706,22.07348,-4.0998936,16.37028,0.0018205773,-14.3561735,7.0526342,-4.4482265,-13.475167,-6.8969603,2.171762,6.4204073,-1.3127819,-24.316216,22.130024,13.265116,8.869523,-16.01621,-34.70446,20.378187,5.001456,39.39791,0.40281317,3.5967982,22.460089,9.393902,-4.342128,-20.09739,9.811367,-30.768356,2.095846,19.907084,-12.309977,-7.505915
