ID,SMILES,Title,Activity,Reference
Isonitrile_1,[C-]#[N+]C1=CC(=CCC(=O)O)CC1,Isonitrile_derrivatives,Active,https://doi.org/10.1016/j.bbrc.2005.03.009
Isonitrile_2,[C-]#[N+]C1=CC(=CCC(=O)OC)CC1,Isonitrile_derrivatives,Active,https://doi.org/10.1016/j.bbrc.2005.03.009
WK14,Oc1ccccc1/C=C/c1ccc2cccc(O)c2n1,Styrylquinolines,Active,https://doi.org/10.1016/j.ijantimicag.2017.01.044
WK14B,CC(=O)Oc1ccccc1/C=C/c1ccc2cccc(OC(C)=O)c2n1,Styrylquinolines,Active,https://doi.org/10.1016/j.ijantimicag.2017.01.044
WK15,Oc1cccc(/C=C/c2ccc3cccc(O)c3n2)c1,Styrylquinolines,Active,https://doi.org/10.1016/j.ijantimicag.2017.01.044
WK15B,CC(=O)Oc1cccc(/C=C/c2ccc3cccc(O)c3n2)c1,Styrylquinolines,Active,https://doi.org/10.1016/j.ijantimicag.2017.01.044
Chalcone_6,CCN(CC)CCOC1=C[C@@H]2OC(=O)S[C@H]2C=C1C(=O)/C=C/c1ccc(OC)cc1,Chalcones,Active,https://doi.org/10.3389/fmicb.2015.00783
Chalcone_18,COc1cc(/C=C/C(=O)c2c(OC)ccc3oc(=O)sc23)ccc1OCCCN(C)C,Chalcones,Active,https://doi.org/10.3389/fmicb.2015.00783
Azole_4,COc1cc(/C=C/C(=O)c2cn(C)c3ccccc23)cc(OC)c1OC,Azoles,Active,https://doi.org/10.4155/fmc-2018-0081
Azole_10,COc1ccc(C(=O)/C=C/c2cccc(OC)c2OC)c(O)c1,Azoles,Active,https://doi.org/10.4155/fmc-2018-0081
Azole_12,COc1ccc(C(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)c(O)c1,Azoles,Active,https://doi.org/10.4155/fmc-2018-0081
Azole_18,COc1cc(O)c(C(=O)/C=C/C2=C[C@@H]3OCO[C@H]3C=C2)c(OC)c1,Azoles,Active,https://doi.org/10.4155/fmc-2018-0081
1a,C1(N=C2C3=CC=CC=C3)=CC=CC=C1N4C2=CC=C4N5CCN(C6=CC=CC=C6)CC5,Quinoxalines,Active,https://doi.org/10.1039/C9RA09348F
1b,COC(C=CC=C1)=C1N(CC2)CCN2C3=CC=C4C(C5=CC=CC=C5)=NC6=CC=CC=C6N43,Quinoxalines,Active,https://doi.org/10.1039/C9RA09348F
1e,C1(N=C2C3=CC=CC=C3)=CC=CC=C1N4C2=CC=C4N5CCN(CCC6=CC=CC=C6)CC5,Quinoxalines,Active,https://doi.org/10.1039/C9RA09348F
1g,FC1=CC=CC(CCN(CC2)CCN2C3=CC=C4C(C5=CC=CC=C5)=NC6=CC=CC=C6N43)=C1,Quinoxalines,Active,https://doi.org/10.1039/C9RA09348F
1h,FC(C=C1)=CC=C1CCN(CC2)CCN2C3=CC=C4C(C5=CC=CC=C5)=NC6=CC=CC=C6N43,Quinoxalines,Active,https://doi.org/10.1039/C9RA09348F
1i,ClC1=CC=C(CCN2CCN(C3=CC=C4C(C5=CC=CC=C5)=NC6=CC=CC=C6N43)CC2)C=C1Cl,Quinoxalines,Active,https://doi.org/10.1039/C9RA09348F
1j,C1(N=C2N3CCN(CCC4=CC=CC=C4)CC3)=CC=CC=C1N5C2=CC=C5,Quinoxalines,Active,https://doi.org/10.1039/C9RA09348F
1k,ClC(C=C1)=C(Cl)C=C1CCN(CC2)CCN2C3=NC4=CC=CC=C4N5C3=CC=C5,Quinoxalines,Active,https://doi.org/10.1039/C9RA09348F
1l,FC(C1=C(CCN2CCN(C3=NC4=CC=CC=C4N5C3=CC=C5)CC2)C=CC=C1)(F)F,Quinoxalines,Active,https://doi.org/10.1039/C9RA09348F
1m,FC1=C(CCN2CCN(C3=NC4=CC=CC=C4N5C3=CC=C5)CC2)C=CC=C1,Quinoxalines,Active,https://doi.org/10.1039/C9RA09348F
1n,FC1=CC=CC(CCN2CCN(C3=NC4=CC=CC=C4N5C3=CC=C5)CC2)=C1,Quinoxalines,Active,https://doi.org/10.1039/C9RA09348F
1o,FC1=CC=C(CCN2CCN(C3=NC4=CC=CC=C4N5C3=CC=C5)CC2)C=C1,Quinoxalines,Active,https://doi.org/10.1039/C9RA09348F
1p,ClC1=CC(N2CCN(C3=NC4=CC=CC=C4N5C3=CC=C5)CC2)=CC=C1,Quinoxalines,Active,https://doi.org/10.1039/C9RA09348F
