ID,SMILES,Activity,Canomicalsmiles
te_1,O=C(NCCC[Te]CCCC)OC(C)(C)C,1,CCCC[Te]CCCNC(=O)OC(C)(C)C
te_2,O=C(NCCC[Te]CCCC)C1=CC=CC=C1,1,CCCC[Te]CCCNC(=O)c1ccccc1
te_3,O=C(NCCCC[Te]CCCC)C1=CC=CC=C1,1,CCCC[Te]CCCCNC(=O)c1ccccc1
te_4,O=C(NCCCCC[Te]CCCC)C1=CC=CC=C1,1,CCCC[Te]CCCCCNC(=O)c1ccccc1
te_5,CCCC[Te]/C=C(C(OCC)=O)/C(O)C1=CC=CC=C1,0,CCCC[Te]/C=C(\C(=O)OCC)C(O)c1ccccc1
CMLD012336,O=C1NC2=C(C=CC(F)=C2)C1(C3=C(OC[C@H](O)CC(C)=C)C=C(OCO4)C4=C3)C5=C(OC[C@H](O)CC(C)=C)C=C(OCO6)C6=C5,1,C=C(C)C[C@@H](O)COc1cc2c(cc1C1(c3cc4c(cc3OC[C@H](O)CC(=C)C)OCO4)C(=O)Nc3cc(F)ccc31)OCO2
M19,CN(CC1CC1)CCCOC2=C(Cl)C=C(Cl)C=C2,1,CN(CCCOc1ccc(Cl)cc1Cl)CC1CC1
M25,CN(CC=C)CCCOC1=C(Cl)C=C(Cl)C=C1,1,C=CCN(C)CCCOc1ccc(Cl)cc1Cl
M3,CN(CC#C)CCCOC1=C(Cl)C=CC(Cl)=C1,0,C#CCN(C)CCCOc1cc(Cl)ccc1Cl
M5,ClC1=C(OCCCNCC#C)C=CC(Cl)=C1,0,C#CCNCCCOc1ccc(Cl)cc1Cl
M18,ClC1=C(OCCCN(C)CC#C)C=CC(Cl)=C1,0,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
M20,CN(CC1CO1)CCCOC2=C(Cl)C=C(Cl)C=C2,0,CN(CCCOc1ccc(Cl)cc1Cl)CC1CO1
spiroindolinone_1,O=C1C2([C@@H](C(N(C3=CC=C(F)C=C3)C4=O)=O)[C@@H]4[C@@H](CC5=CC=CC=C5)N2)C6=CC=C(Cl)C(C)=C6N1,1,Cc1c(Cl)ccc2c1NC(=O)C21N[C@H](Cc2ccccc2)[C@@H]2C(=O)N(c3ccc(F)cc3)C(=O)[C@@H]21
spiroindolinone_2,O=C1C2([C@@H](C(N(CC3=CC=CC=C3)C4=O)=O)[C@@H]4[C@@H](CC5=CC=CC=C5)N2)C6=CC=CC=C6N1,1,O=C1[C@H]2[C@@H](Cc3ccccc3)NC3(C(=O)Nc4ccccc43)[C@H]2C(=O)N1Cc1ccccc1
spiroindolinone_3,O=C1C2([C@@H](C(N(CC3=CC=CC=C3)C4=O)=O)[C@@H]4[C@@H](CC5=CNC6=C5C=CC=C6)N2)C7=CC=CC=C7N1,1,O=C1[C@H]2[C@@H](Cc3c[nH]c4ccccc34)NC3(C(=O)Nc4ccccc43)[C@H]2C(=O)N1Cc1ccccc1
spiroindolinone_4,O=C1C2([C@@H](C(N(CC3=CC=CC=C3)C4=O)=O)[C@@H]4[C@@H](CCCCNC(OC(C)(C)C)=O)N2)C5=CC=CC=C5N1,0,CC(C)(C)OC(=O)NCCCC[C@H]1NC2(C(=O)Nc3ccccc32)[C@H]2C(=O)N(Cc3ccccc3)C(=O)[C@@H]12
spiroindolinone_5,O=C1C2([C@@H](C(N(C3=CC=CC=C3)C4=O)=O)[C@@H]4[C@@H](CC5=CC=CC=C5)N2)C6=CC(OC)=CC=C6N1,1,COc1ccc2c(c1)C1(N[C@H](Cc3ccccc3)[C@@H]3C(=O)N(c4ccccc4)C(=O)[C@@H]31)C(=O)N2
spiroindolinone_6,O=C1C2([C@@H](C(N(CC3=CC=CC=C3)C4=O)=O)[C@@H]4[C@@H](CC5=CC=CC=C5)N2)C6=CC=CC=C6N1CC7=CC=CC=C7,1,O=C1[C@H]2[C@@H](Cc3ccccc3)NC3(C(=O)N(Cc4ccccc4)c4ccccc43)[C@H]2C(=O)N1Cc1ccccc1
spiroindolinone_7,O=C1C2([C@@H](C(N(C3=CC=CC=C3)C4=O)=O)[C@@H]4[C@@H](CC5=CC=CC=C5)N2)C6=CC=CC=C6N1CC7=CC=CC=C7,0,O=C1[C@H]2[C@@H](Cc3ccccc3)NC3(C(=O)N(Cc4ccccc4)c4ccccc43)[C@H]2C(=O)N1c1ccccc1
spiroindolinone_8,O=C1C2([C@@H](C(N(C3=CC=CC=C3)C4=O)=O)[C@@H]4[C@@H](CC5=CC=CC=C5)N2)C6=CC=C(Cl)C(C)=C6N1,1,Cc1c(Cl)ccc2c1NC(=O)C21N[C@H](Cc2ccccc2)[C@@H]2C(=O)N(c3ccccc3)C(=O)[C@@H]21
