Standardize_smile,Activity
COc1ccc(NC(=O)Nc2cccc3c2OC(CN(C)C(=O)NC2CCCCC2)C(C)CN(C(C)CO)C3=O)cc1,1
O=C(O)c1cccc2c(=O)c3ccccc3n(CC(O)CN3CCCC3)c12,1
COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O,1
Cc1noc(C)c1C(=O)N1CCC2(CC1)Oc1ccc(F)cc1C(=O)C21CC(c2ccc(Cl)cc2)=NO1,1
CN(C)c1ccc(C=Cc2cc[n+](C)cc2)cc1,1
Oc1ccccc1/C=C/c1ccc2cccc(O)c2n1,1
Cc1ccc(S(=O)(=O)N2CCOCC2)cc1NC(=O)COC(=O)CNC(=O)c1ccccc1,1
CCOc1ccc(NC(=O)CSc2nnc(Cc3cccn3C)n2-c2ccc(F)cc2)cc1,1
CCc1ccc(N=C2NC(=O)C(=Cc3cc(OC)c(O)c(OC)c3)S2)cc1,1
O=C(NC(=S)Nc1ccc2[nH]c(=O)[nH]c2c1)c1cncc(Br)c1,1
CCSc1cc(N2CCOCC2)nc(-c2ccccc2)n1,1
O=C(Nc1ccnc(-c2cccnc2)n1)c1cccc(Cl)c1Cl,1
O=C(C=Cc1ccccc1Cl)NCCc1ccccc1,1
CC(C)=CCCC(C)=CCCC(C)=CCO,1
CCN(CC)C(=S)SSC(=S)N(CC)CC,1
