,model_1,model_2,worse_prob,better_prob,equivalent_prob
0,Logistic,KNN,0.064,0.906,0.03
1,Logistic,SVM,0.547,0.216,0.237
2,Logistic,RF,0.324,0.328,0.348
3,Logistic,ExT,0.387,0.229,0.384
4,Logistic,Ada,0.233,0.644,0.123
5,Logistic,Grad,0.325,0.275,0.399
6,Logistic,XGB,0.187,0.315,0.498
7,Logistic,CatB,0.579,0.172,0.249
8,Logistic,MLP,0.592,0.069,0.339
9,KNN,SVM,0.91,0.064,0.026
10,KNN,RF,0.887,0.08,0.033
11,KNN,ExT,0.893,0.076,0.031
12,KNN,Ada,0.728,0.22,0.052
13,KNN,Grad,0.934,0.043,0.023
14,KNN,XGB,0.9,0.068,0.032
15,KNN,CatB,0.92,0.056,0.024
16,KNN,MLP,0.902,0.071,0.027
17,SVM,RF,0.026,0.649,0.325
18,SVM,ExT,0.089,0.463,0.448
19,SVM,Ada,0.17,0.731,0.099
20,SVM,Grad,0.249,0.525,0.226
21,SVM,XGB,0.118,0.626,0.256
22,SVM,CatB,0.22,0.154,0.626
23,SVM,MLP,0.341,0.349,0.31
24,RF,ExT,0.196,0.028,0.776
25,RF,Ada,0.224,0.649,0.127
26,RF,Grad,0.369,0.325,0.306
27,RF,XGB,0.193,0.315,0.492
28,RF,CatB,0.753,0.01,0.237
29,RF,MLP,0.576,0.108,0.316
30,ExT,Ada,0.196,0.685,0.119
31,ExT,Grad,0.305,0.393,0.302
32,ExT,XGB,0.142,0.44,0.418
33,ExT,CatB,0.515,0.053,0.432
34,ExT,MLP,0.46,0.121,0.418
35,Ada,Grad,0.622,0.275,0.103
36,Ada,XGB,0.631,0.235,0.135
37,Ada,CatB,0.722,0.183,0.094
38,Ada,MLP,0.772,0.127,0.101
39,Grad,XGB,0.244,0.396,0.36
40,Grad,CatB,0.56,0.17,0.27
41,Grad,MLP,0.526,0.209,0.265
42,XGB,CatB,0.669,0.089,0.242
43,XGB,MLP,0.681,0.05,0.269
44,CatB,MLP,0.302,0.358,0.34
