,model_1,model_2,worse_prob,better_prob,equivalent_prob
0,Logistic,KNN,0.174,0.798,0.028
1,Logistic,SVM,0.432,0.447,0.121
2,Logistic,RF,0.588,0.209,0.202
3,Logistic,ExT,0.333,0.389,0.278
4,Logistic,Ada,0.222,0.667,0.111
5,Logistic,Grad,0.507,0.219,0.273
6,Logistic,XGB,0.475,0.205,0.32
7,Logistic,CatB,0.773,0.055,0.172
8,Logistic,MLP,0.2,0.657,0.143
9,KNN,SVM,0.799,0.172,0.029
10,KNN,RF,0.857,0.119,0.024
11,KNN,ExT,0.817,0.155,0.029
12,KNN,Ada,0.699,0.27,0.032
13,KNN,Grad,0.788,0.185,0.027
14,KNN,XGB,0.84,0.134,0.026
15,KNN,CatB,0.854,0.123,0.023
16,KNN,MLP,0.757,0.209,0.034
17,SVM,RF,0.559,0.31,0.13
18,SVM,ExT,0.437,0.447,0.116
19,SVM,Ada,0.253,0.642,0.105
20,SVM,Grad,0.509,0.391,0.1
21,SVM,XGB,0.499,0.373,0.128
22,SVM,CatB,0.593,0.293,0.114
23,SVM,MLP,0.34,0.573,0.087
24,RF,ExT,0.064,0.712,0.224
25,RF,Ada,0.194,0.725,0.081
26,RF,Grad,0.377,0.476,0.148
27,RF,XGB,0.198,0.473,0.328
28,RF,CatB,0.443,0.262,0.296
29,RF,MLP,0.119,0.784,0.096
30,ExT,Ada,0.264,0.632,0.104
31,ExT,Grad,0.523,0.307,0.169
32,ExT,XGB,0.513,0.202,0.285
33,ExT,CatB,0.717,0.114,0.169
34,ExT,MLP,0.12,0.706,0.173
35,Ada,Grad,0.756,0.148,0.096
36,Ada,XGB,0.681,0.23,0.089
37,Ada,CatB,0.751,0.176,0.074
38,Ada,MLP,0.483,0.401,0.115
39,Grad,XGB,0.39,0.423,0.187
40,Grad,CatB,0.532,0.284,0.184
41,Grad,MLP,0.151,0.735,0.114
42,XGB,CatB,0.754,0.01,0.236
43,XGB,MLP,0.158,0.723,0.119
44,CatB,MLP,0.114,0.802,0.083
