,model_1,model_2,worse_prob,better_prob,equivalent_prob
0,Logistic,KNN,0.758,0.161,0.081
1,Logistic,SVM,0.835,0.117,0.048
2,Logistic,RF,0.954,0.032,0.014
3,Logistic,ExT,0.943,0.043,0.014
4,Logistic,Ada,0.829,0.13,0.041
5,Logistic,Grad,0.841,0.108,0.051
6,Logistic,XGB,0.872,0.1,0.029
7,Logistic,CatB,0.942,0.044,0.014
8,Logistic,MLP,0.609,0.345,0.047
9,KNN,SVM,0.667,0.218,0.114
10,KNN,RF,0.947,0.03,0.023
11,KNN,ExT,0.918,0.057,0.025
12,KNN,Ada,0.738,0.177,0.085
13,KNN,Grad,0.632,0.235,0.133
14,KNN,XGB,0.828,0.12,0.052
15,KNN,CatB,0.955,0.029,0.016
16,KNN,MLP,0.472,0.466,0.061
17,SVM,RF,0.94,0.024,0.035
18,SVM,ExT,0.976,0.012,0.013
19,SVM,Ada,0.616,0.13,0.255
20,SVM,Grad,0.403,0.483,0.114
21,SVM,XGB,0.884,0.048,0.068
22,SVM,CatB,0.988,0.006,0.007
23,SVM,MLP,0.345,0.584,0.07
24,RF,ExT,0.684,0.156,0.16
25,RF,Ada,0.122,0.775,0.103
26,RF,Grad,0.091,0.848,0.06
27,RF,XGB,0.3,0.51,0.19
28,RF,CatB,0.749,0.095,0.156
29,RF,MLP,0.212,0.742,0.046
30,ExT,Ada,0.05,0.906,0.044
31,ExT,Grad,0.131,0.823,0.046
32,ExT,XGB,0.083,0.807,0.11
33,ExT,CatB,0.368,0.329,0.303
34,ExT,MLP,0.116,0.849,0.035
35,Ada,Grad,0.339,0.567,0.094
36,Ada,XGB,0.825,0.053,0.122
37,Ada,CatB,0.972,0.012,0.017
38,Ada,MLP,0.278,0.653,0.069
39,Grad,XGB,0.702,0.226,0.073
40,Grad,CatB,0.86,0.098,0.042
41,Grad,MLP,0.416,0.537,0.047
42,XGB,CatB,0.901,0.029,0.07
43,XGB,MLP,0.194,0.753,0.053
44,CatB,MLP,0.122,0.844,0.035
