,model_1,model_2,worse_prob,better_prob,equivalent_prob
0,Logistic,KNN,0.005,0.993,0.002
1,Logistic,SVM,0.456,0.31,0.234
2,Logistic,RF,0.156,0.475,0.368
3,Logistic,ExT,0.085,0.637,0.278
4,Logistic,Ada,0.05,0.902,0.048
5,Logistic,Grad,0.077,0.883,0.04
6,Logistic,XGB,0.027,0.89,0.084
7,Logistic,CatB,0.404,0.356,0.24
8,Logistic,MLP,0.445,0.201,0.354
9,KNN,SVM,0.979,0.016,0.005
10,KNN,RF,0.989,0.008,0.003
11,KNN,ExT,0.993,0.005,0.002
12,KNN,Ada,0.931,0.049,0.02
13,KNN,Grad,0.855,0.107,0.037
14,KNN,XGB,0.977,0.016,0.007
15,KNN,CatB,0.989,0.008,0.003
16,KNN,MLP,0.985,0.011,0.004
17,SVM,RF,0.14,0.597,0.263
18,SVM,ExT,0.157,0.658,0.186
19,SVM,Ada,0.033,0.933,0.034
20,SVM,Grad,0.026,0.954,0.02
21,SVM,XGB,0.135,0.755,0.109
22,SVM,CatB,0.335,0.432,0.232
23,SVM,MLP,0.406,0.388,0.206
24,RF,ExT,0.197,0.435,0.368
25,RF,Ada,0.056,0.882,0.061
26,RF,Grad,0.081,0.873,0.046
27,RF,XGB,0.162,0.668,0.171
28,RF,CatB,0.512,0.277,0.212
29,RF,MLP,0.585,0.195,0.22
30,ExT,Ada,0.081,0.836,0.083
31,ExT,Grad,0.073,0.878,0.049
32,ExT,XGB,0.169,0.607,0.224
33,ExT,CatB,0.653,0.105,0.242
34,ExT,MLP,0.662,0.159,0.179
35,Ada,Grad,0.281,0.601,0.117
36,Ada,XGB,0.705,0.154,0.142
37,Ada,CatB,0.878,0.069,0.054
38,Ada,MLP,0.96,0.018,0.022
39,Grad,XGB,0.758,0.165,0.077
40,Grad,CatB,0.971,0.015,0.014
41,Grad,MLP,0.876,0.085,0.038
42,XGB,CatB,0.752,0.125,0.123
43,XGB,MLP,0.953,0.011,0.036
44,CatB,MLP,0.456,0.364,0.181
