,model_1,model_2,worse_prob,better_prob,equivalent_prob
0,Logistic,KNN,0.002,0.997,0.0
1,Logistic,SVM,0.405,0.463,0.132
2,Logistic,RF,0.545,0.311,0.144
3,Logistic,ExT,0.397,0.449,0.154
4,Logistic,Ada,0.285,0.587,0.128
5,Logistic,Grad,0.201,0.729,0.069
6,Logistic,XGB,0.269,0.535,0.196
7,Logistic,CatB,0.419,0.485,0.096
8,Logistic,MLP,0.564,0.266,0.171
9,KNN,SVM,0.997,0.002,0.0
10,KNN,RF,0.998,0.002,0.0
11,KNN,ExT,0.999,0.001,0.0
12,KNN,Ada,0.999,0.001,0.0
13,KNN,Grad,1.0,0.0,0.0
14,KNN,XGB,0.999,0.001,0.0
15,KNN,CatB,0.995,0.004,0.0
16,KNN,MLP,0.999,0.001,0.0
17,SVM,RF,0.597,0.241,0.161
18,SVM,ExT,0.435,0.421,0.143
19,SVM,Ada,0.338,0.547,0.115
20,SVM,Grad,0.218,0.709,0.072
21,SVM,XGB,0.323,0.488,0.189
22,SVM,CatB,0.405,0.441,0.154
23,SVM,MLP,0.593,0.261,0.146
24,RF,ExT,0.18,0.621,0.199
25,RF,Ada,0.171,0.718,0.111
26,RF,Grad,0.122,0.823,0.055
27,RF,XGB,0.206,0.661,0.133
28,RF,CatB,0.215,0.625,0.16
29,RF,MLP,0.428,0.416,0.157
30,ExT,Ada,0.122,0.65,0.228
31,ExT,Grad,0.069,0.868,0.064
32,ExT,XGB,0.299,0.498,0.203
33,ExT,CatB,0.423,0.461,0.116
34,ExT,MLP,0.61,0.213,0.177
35,Ada,Grad,0.093,0.796,0.111
36,Ada,XGB,0.488,0.307,0.205
37,Ada,CatB,0.525,0.384,0.091
38,Ada,MLP,0.799,0.094,0.107
39,Grad,XGB,0.737,0.172,0.091
40,Grad,CatB,0.663,0.272,0.065
41,Grad,MLP,0.886,0.069,0.045
42,XGB,CatB,0.482,0.417,0.101
43,XGB,MLP,0.964,0.004,0.032
44,CatB,MLP,0.563,0.347,0.089
