,model_1,model_2,worse_prob,better_prob,equivalent_prob
0,Logistic,KNN,0.117,0.817,0.066
1,Logistic,SVM,0.461,0.105,0.434
2,Logistic,RF,0.113,0.465,0.421
3,Logistic,ExT,0.158,0.716,0.127
4,Logistic,Ada,0.147,0.713,0.14
5,Logistic,Grad,0.293,0.509,0.198
6,Logistic,XGB,0.47,0.178,0.352
7,Logistic,CatB,0.611,0.111,0.278
8,Logistic,MLP,0.498,0.098,0.404
9,KNN,SVM,0.858,0.089,0.053
10,KNN,RF,0.757,0.165,0.078
11,KNN,ExT,0.599,0.31,0.09
12,KNN,Ada,0.625,0.28,0.095
13,KNN,Grad,0.734,0.186,0.079
14,KNN,XGB,0.84,0.104,0.056
15,KNN,CatB,0.88,0.075,0.045
16,KNN,MLP,0.829,0.115,0.056
17,SVM,RF,0.02,0.768,0.211
18,SVM,ExT,0.079,0.828,0.093
19,SVM,Ada,0.057,0.851,0.092
20,SVM,Grad,0.248,0.589,0.162
21,SVM,XGB,0.217,0.222,0.562
22,SVM,CatB,0.379,0.093,0.527
23,SVM,MLP,0.345,0.305,0.35
24,RF,ExT,0.121,0.704,0.174
25,RF,Ada,0.133,0.671,0.196
26,RF,Grad,0.378,0.418,0.203
27,RF,XGB,0.757,0.023,0.22
28,RF,CatB,0.842,0.025,0.133
29,RF,MLP,0.676,0.09,0.234
30,ExT,Ada,0.394,0.307,0.299
31,ExT,Grad,0.595,0.274,0.132
32,ExT,XGB,0.873,0.048,0.078
33,ExT,CatB,0.881,0.052,0.067
34,ExT,MLP,0.766,0.135,0.099
35,Ada,Grad,0.56,0.323,0.116
36,Ada,XGB,0.816,0.081,0.103
37,Ada,CatB,0.848,0.07,0.082
38,Ada,MLP,0.768,0.126,0.106
39,Grad,XGB,0.607,0.208,0.185
40,Grad,CatB,0.676,0.165,0.159
41,Grad,MLP,0.616,0.21,0.175
42,XGB,CatB,0.274,0.015,0.712
43,XGB,MLP,0.37,0.331,0.299
44,CatB,MLP,0.284,0.429,0.287
