,model_1,model_2,worse_prob,better_prob,equivalent_prob
0,Logistic,KNN,0.163,0.82,0.018
1,Logistic,SVM,0.476,0.416,0.108
2,Logistic,RF,0.526,0.354,0.12
3,Logistic,ExT,0.598,0.262,0.14
4,Logistic,Ada,0.043,0.908,0.049
5,Logistic,Grad,0.622,0.134,0.244
6,Logistic,XGB,0.69,0.12,0.19
7,Logistic,CatB,0.564,0.28,0.156
8,Logistic,MLP,0.625,0.157,0.219
9,KNN,SVM,0.818,0.165,0.017
10,KNN,RF,0.833,0.151,0.017
11,KNN,ExT,0.828,0.156,0.016
12,KNN,Ada,0.769,0.207,0.023
13,KNN,Grad,0.849,0.135,0.016
14,KNN,XGB,0.839,0.145,0.016
15,KNN,CatB,0.818,0.165,0.017
16,KNN,MLP,0.841,0.142,0.016
17,SVM,RF,0.486,0.319,0.195
18,SVM,ExT,0.546,0.325,0.129
19,SVM,Ada,0.211,0.725,0.064
20,SVM,Grad,0.508,0.38,0.112
21,SVM,XGB,0.541,0.352,0.108
22,SVM,CatB,0.516,0.324,0.16
23,SVM,MLP,0.513,0.401,0.087
24,RF,ExT,0.475,0.279,0.247
25,RF,Ada,0.175,0.766,0.059
26,RF,Grad,0.448,0.408,0.144
27,RF,XGB,0.488,0.353,0.159
28,RF,CatB,0.417,0.342,0.24
29,RF,MLP,0.467,0.42,0.113
30,ExT,Ada,0.135,0.812,0.053
31,ExT,Grad,0.368,0.458,0.174
32,ExT,XGB,0.372,0.36,0.268
33,ExT,CatB,0.213,0.386,0.401
34,ExT,MLP,0.396,0.453,0.151
35,Ada,Grad,0.907,0.053,0.04
36,Ada,XGB,0.893,0.066,0.041
37,Ada,CatB,0.809,0.135,0.056
38,Ada,MLP,0.922,0.043,0.035
39,Grad,XGB,0.424,0.246,0.33
40,Grad,CatB,0.42,0.413,0.167
41,Grad,MLP,0.381,0.344,0.275
42,XGB,CatB,0.33,0.446,0.224
43,XGB,MLP,0.279,0.407,0.314
44,CatB,MLP,0.437,0.424,0.139
