,Avalon,Cats2d,ECFP2,ECFP4,ECFP6,MACCs,Map4,Mol2vec,Mordred,Ph4_gobbi,Pubchem,RDK5,RDK6,RDK7,RDKdes,Secfp
Avalon,1.0,3.5730990216830105e-10,1.0076919636336376e-27,9.206259251581407e-28,3.591027670905904e-15,1.8592003766974202e-31,7.157218020657878e-08,1.4261872000352345e-12,0.06380559204557502,1.0,1.9190144068953394e-11,1.0,0.39940319836925103,1.0,0.16349666734444238,3.10362786189235e-20
Cats2d,3.5730990216830105e-10,1.0,0.15419133784757122,0.08650203900501115,7.001387696330621e-05,0.6886824145963228,1.995534601443945e-06,0.0051886892276829955,3.109637009907981e-08,2.5987322716016195e-13,0.0007246836624381465,3.51774936548407e-11,1.866945752940241e-07,3.3721005363894244e-12,3.703115911790328e-08,0.02188893037901411
ECFP2,1.0076919636336376e-27,0.15419133784757122,1.0,1.0,1.1616392464504981e-11,1.0,4.331574367627755e-08,0.94541888375679,0.0030338884438685858,0.004732971379137857,4.9181031422563636e-05,3.5602171775820445e-05,0.013947156674453844,3.355011614503273e-05,0.5325350363461366,0.1598103500924879
ECFP4,9.206259251581407e-28,0.08650203900501115,1.0,1.0,2.259920539880806e-09,1.0,9.722104215121119e-07,1.0,0.01117319678065029,0.015019719569623651,0.0001686010533460244,0.0003838847380727754,0.02188893037901411,0.0003320635445997059,1.0,1.0
ECFP6,3.591027670905904e-15,7.001387696330621e-05,1.1616392464504981e-11,2.259920539880806e-09,1.0,6.637076499614182e-07,0.9008199464731095,1.0,1.0,1.0,1.0,0.5080598432219147,1.0,0.16349666734444238,1.0,1.0
MACCs,1.8592003766974202e-31,0.6886824145963228,1.0,1.0,6.637076499614182e-07,1.0,1.0932209133774153e-07,0.13056444000619882,7.757412988294876e-07,0.0001050181860194478,8.19959959374934e-09,4.299621923031679e-06,0.00011835262935144728,7.708776437724928e-08,0.03825531326027964,0.01885355564487177
Map4,7.157218020657878e-08,1.995534601443945e-06,4.331574367627755e-08,9.722104215121119e-07,0.9008199464731095,1.0932209133774153e-07,1.0,0.04213286878992242,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00635380031898108
Mol2vec,1.4261872000352345e-12,0.0051886892276829955,0.94541888375679,1.0,1.0,0.13056444000619882,0.04213286878992242,1.0,0.4694892234109278,0.15545985251749436,1.0,0.038034551549483556,0.21400302041028804,0.00934234784943254,1.0,1.0
Mordred,0.06380559204557502,3.109637009907981e-08,0.0030338884438685858,0.01117319678065029,1.0,7.757412988294876e-07,1.0,0.4694892234109278,1.0,1.0,1.0,1.0,1.0,0.94541888375679,1.0,0.16472310799880177
Ph4_gobbi,1.0,2.5987322716016195e-13,0.004732971379137857,0.015019719569623651,1.0,0.0001050181860194478,1.0,0.15545985251749436,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13056444000619882
Pubchem,1.9190144068953394e-11,0.0007246836624381465,4.9181031422563636e-05,0.0001686010533460244,1.0,8.19959959374934e-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6041234173338677,1.0,0.0598501761104552
RDK5,1.0,3.51774936548407e-11,3.5602171775820445e-05,0.0003838847380727754,0.5080598432219147,4.299621923031679e-06,1.0,0.038034551549483556,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10432943551795083
RDK6,0.39940319836925103,1.866945752940241e-07,0.013947156674453844,0.02188893037901411,1.0,0.00011835262935144728,1.0,0.21400302041028804,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5800519589052143
RDK7,1.0,3.3721005363894244e-12,3.355011614503273e-05,0.0003320635445997059,0.16349666734444238,7.708776437724928e-08,1.0,0.00934234784943254,0.94541888375679,1.0,0.6041234173338677,1.0,1.0,1.0,0.5080598432219147,0.0035125980547931874
RDKdes,0.16349666734444238,3.703115911790328e-08,0.5325350363461366,1.0,1.0,0.03825531326027964,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5080598432219147,1.0,1.0
Secfp,3.10362786189235e-20,0.02188893037901411,0.1598103500924879,1.0,1.0,0.01885355564487177,0.00635380031898108,1.0,0.16472310799880177,0.13056444000619882,0.0598501761104552,0.10432943551795083,0.5800519589052143,0.0035125980547931874,1.0,1.0
