,Avalon,Cats2d,ECFP2,ECFP4,ECFP6,MACCs,Map4,Mol2vec,Mordred,Ph4_gobbi,Pubchem,RDK5,RDK6,RDK7,RDKdes,Secfp
Avalon,1.0,8.248555170530701e-11,3.700002139342017e-25,1.984068208136584e-29,9.843875589876458e-17,6.437612567357993e-30,1.7121364093473567e-09,2.665318648769554e-10,0.3531603620774954,1.0,8.826075588174206e-12,1.0,1.0,1.0,0.027829988169072017,8.636290237864336e-19
Cats2d,8.248555170530701e-11,1.0,0.019410759010216994,0.04017675032327893,0.00011017194707653467,0.15329740489843746,0.00014944070893648363,0.00021070204517458464,4.471402848673717e-10,1.3566401011000117e-11,4.5712284699794385e-05,1.503987754845603e-11,6.246761287706435e-09,7.778490891899973e-14,1.7224646551882984e-06,0.002663933624639712
ECFP2,3.700002139342017e-25,0.019410759010216994,1.0,1.0,6.266263010809812e-07,1.0,0.017833275106407386,1.0,0.0001772552936682848,0.030957437504112287,0.0004642417183396912,0.000791607543593223,0.007135431010670944,8.93585101974911e-06,1.0,0.09518947760043459
ECFP4,1.984068208136584e-29,0.04017675032327893,1.0,1.0,2.3604470706046935e-08,1.0,0.0077946455608537335,0.8758332623784614,1.4225871381162232e-05,0.00937899032212207,9.056465971724083e-06,0.0002618168531214961,0.0007106745787911663,2.6014522269456675e-06,0.9599620549602432,0.025640118813335618
ECFP6,9.843875589876458e-17,0.00011017194707653467,6.266263010809812e-07,2.3604470706046935e-08,1.0,4.653399154330474e-06,1.0,1.0,0.396493131331214,1.0,1.0,0.23871476611558623,0.898665421927296,0.0077946455608537335,1.0,1.0
MACCs,6.437612567357993e-30,0.15329740489843746,1.0,1.0,4.653399154330474e-06,1.0,0.004405906764165184,0.016537202918977534,7.812083874011854e-09,0.0003812912131459752,2.2970205928102704e-10,9.760099672678073e-06,3.366534033352661e-05,2.2927946443164744e-09,0.11705096302198843,0.00269067597654556
Map4,1.7121364093473567e-09,0.00014944070893648363,0.017833275106407386,0.0077946455608537335,1.0,0.004405906764165184,1.0,1.0,0.7826458549071589,1.0,1.0,0.7092132009691458,1.0,0.025640118813335618,1.0,1.0
Mol2vec,2.665318648769554e-10,0.00021070204517458464,1.0,0.8758332623784614,1.0,0.016537202918977534,1.0,1.0,0.10027397898323805,0.6626661670020664,1.0,0.06849437896244322,0.22635413805405985,0.0014373308335852081,1.0,1.0
Mordred,0.3531603620774954,4.471402848673717e-10,0.0001772552936682848,1.4225871381162232e-05,0.396493131331214,7.812083874011854e-09,0.7826458549071589,0.10027397898323805,1.0,1.0,1.0,1.0,1.0,0.7092132009691458,0.3114909893232565,0.009728584918077827
Ph4_gobbi,1.0,1.3566401011000117e-11,0.030957437504112287,0.00937899032212207,1.0,0.0003812912131459752,1.0,0.6626661670020664,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3655977885792696
Pubchem,8.826075588174206e-12,4.5712284699794385e-05,0.0004642417183396912,9.056465971724083e-06,1.0,2.2970205928102704e-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10455055613130429,1.0,0.0817728627251371
RDK5,1.0,1.503987754845603e-11,0.000791607543593223,0.0002618168531214961,0.23871476611558623,9.760099672678073e-06,0.7092132009691458,0.06849437896244322,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1060741449505133
RDK6,1.0,6.246761287706435e-09,0.007135431010670944,0.0007106745787911663,0.898665421927296,3.366534033352661e-05,1.0,0.22635413805405985,1.0,1.0,1.0,1.0,1.0,0.7092132009691458,0.4534628928865109,0.15329740489843746
RDK7,1.0,7.778490891899973e-14,8.93585101974911e-06,2.6014522269456675e-06,0.0077946455608537335,2.2927946443164744e-09,0.025640118813335618,0.0014373308335852081,0.7092132009691458,1.0,0.10455055613130429,1.0,0.7092132009691458,1.0,0.012528663646819017,0.0007869101921663634
RDKdes,0.027829988169072017,1.7224646551882984e-06,1.0,0.9599620549602432,1.0,0.11705096302198843,1.0,1.0,0.3114909893232565,1.0,1.0,1.0,0.4534628928865109,0.012528663646819017,1.0,1.0
Secfp,8.636290237864336e-19,0.002663933624639712,0.09518947760043459,0.025640118813335618,1.0,0.00269067597654556,1.0,1.0,0.009728584918077827,0.3655977885792696,0.0817728627251371,0.1060741449505133,0.15329740489843746,0.0007869101921663634,1.0,1.0
